area,desc,latitude,locality,longitude,price,title
450,"1 Bath,Unfurnished,2 floor,East facing ITS 1 ROOM KITCHEN CONVERTED 1BHK ON 2nd floor N DATTA MARG 4 bunglow Andheri west",19.1253747,4 Bunglows,72.8254158,23000,"1 BHK Apartment for Rent in 4 Bungalow, 4 Bunglows"
340,"1 Bath,Unfurnished,6 floor,North - East facing The Royal Palms World beckons you. Step in to experience a grand lifestyle set in an equally grand setting, with comprehensive infrastructural facilities that are thoughtfully designed, professionally managed and impeccably maintained.Your world spreads across 240 acres, dominated by the timeless blend of nature, fresh air and a class of unimpeachable properties. In short, itÃ??Ã?Â¢??s the world in a village thoughtfully located to provide you lifestyle and nature in the city of Mumbai.The LocationJust a 15 minute drive from MumbaiÃ??Ã?Â¢??s international airport and 30 minutes from Bandra, the lush locale of the 240-acre Royal Palms Estate is situated in the midst of MumbaiÃ??Ã?Â¢??s only green belt and surrounded by a further 20,000 acres of the Sanjay Gandhi National Park, Borivali.",19.15166473,Aarey Milk Colony,72.88790131,13000,1 BHK Apartment for Rent in Aarey Milk Colony
340,"1 Bath,Unfurnished,8 floor,East facing Many Offices  Flats 1 bhk 2bhk 3 bhk  are  available for rent and sale Water, Parking, Lights, Lift, Pawar backup, Gym, , Security, Maintenance staff, Etc Royal palms is the one of best in mumbai and chip reats for ressidential and comercail we work on apointment basis for further details please contact us.Greenery surrounding, Peaceful & pollution free environment. Ideal for people working in prime focus & students of whistling woods. It is also close to powai hiranandani, Marol,International airport.",19.1516655,Aarey Milk Colony,72.8879005,13000,"1 BHK Apartment for Rent in Royal Palms, Aarey Milk Colony"
340,"1 Bath,Furnished,6 floor,East facing Many Offices  Flats 1 bhk 2bhk 3 bhk  are  available for rent and sale Water, Parking, Lights, Lift, Pawar backup, Gym, , Security, Maintenance staff, Etc Royal palms is the one of best in mumbai and chip reats for ressidential and comercail we work on apointment basis for further details please contact us.Greenery surrounding, Peaceful & pollution free environment. Ideal for people working in prime focus & students of whistling woods. It is also close to powai hiranandani, Marol,International airport.",19.1516655,Aarey Milk Colony,72.8879005,16000,"1 BHK Apartment for Rent in Royal Palms, Aarey Milk Colony"
340,"1 Bath,Furnished,3 floor,North - East facing Many Offices  Flats 1 bhk 2bhk 3 bhk  are  available for rent and sale Water, Parking, Lights, Lift, Pawar backup, Gym, , Security, Maintenance staff, Etc Royal palms is the one of best in mumbai and chip reats for ressidential and comercail we work on apointment basis for further details please contact us.Greenery surrounding, Peaceful & pollution free environment. Ideal for people working in prime focus & students of whistling woods. It is also close to powai hiranandani, Marol,International airport.",19.1516655,Aarey Milk Colony,72.8879005,18000,"1 BHK Apartment for Rent in Royal Palms, Aarey Milk Colony"
340,"1 Bath,Furnished,4 floor,East facing Many Offices  Flats 1 bhk 2bhk 3 bhk  are  available for rent and sale Water, Parking, Lights, Lift, Pawar backup, Gym, , Security, Maintenance staff, Etc Royal palms is the one of best in mumbai and chip reats for ressidential and comercail we work on apointment basis for further details please contact us.Greenery surrounding, Peaceful & pollution free environment. Ideal for people working in prime focus & students of whistling woods. It is also close to powai hiranandani, Marol,International airport.",19.1516655,Aarey Milk Colony,72.8879005,16000,"1 BHK Apartment for Rent in Royal Palms, Aarey Milk Colony"
340,"1 Bath,Furnished,5 floor,East facing Many Offices  Flats 1 bhk 2bhk 3 bhk  are  available for rent and sale Water, Parking, Lights, Lift, Pawar backup, Gym, , Security, Maintenance staff, Etc Royal palms is the one of best in mumbai and chip reats for ressidential and comercail we work on apointment basis for further details please contact us.Greenery surrounding, Peaceful & pollution free environment. Ideal for people working in prime focus & students of whistling woods. It is also close to powai hiranandani, Marol,International airport.",19.1516655,Aarey Milk Colony,72.8879005,18000,"1 BHK Apartment for Rent in Royal Palms, Aarey Milk Colony"
342,"1 Bath,Furnished,4 floor,East facing Many  Flats 1 bhk 2bhk 3 bhk  are  available for rent and sale Water, Parking, Lights, Lift, Pawar backup, Gym, , Security, Maintenance staff, Etc Royal palms is the one of best in mumbai and chip reats for ressidential and comercail we work on apointment basis for further details please contact us.Greenery surrounding, Peaceful & pollution free environment. Ideal for people working in prime focus & students of whistling woods. It is also close to powai hiranandani, Marol,International airport.gated society, you can be assured of security. The flat is east facing. There is",19.1542384,Aarey Milk Colony,72.8847838,16000,"1 BHK Apartment for Rent in Royal Palms Diamond Isle Phase II, Aarey Milk Colony"
345,"1 Bath,Semi-Furnished,4 floor,East facing vMany Offices  Flats 1 bhk 2bhk 3 bhk  are  available for rent and sale Water, Parking, Lights, Lift, Pawar backup, Gym, , Security, Maintenance staff, Etc Royal palms is the one of best in mumbai and chip reats for ressidential and comercail we work on apointment basis for further details please contact us.Greenery surrounding, Peaceful & pollution free environment. Ideal for people working in prime focus & students of whistling woods. It is also close to powai hiranandani, Marol,International airport.",19.154154,Aarey Milk Colony,72.871703,14000,"1 BHK Apartment for Rent in Royal Palms Piccadilly 4, Aarey Milk Colony"
350,"1 Bath,Furnished,5 floor,East facing Many Offices  Flats 1 bhk 2bhk 3 bhk  are  available for rent and sale Water, Parking, Lights, Lift, Pawar backup, Gym, , Security, Maintenance staff, Etc Royal palms is the one of best in mumbai and chip reats for ressidential and comercail we work on apointment basis for further details please contact us.Greenery surrounding, Peaceful & pollution free environment. Ideal for people working in prime focus & students of whistling woods. It is also close to powai hiranandani, Marol,International airport.",19.1542384,Aarey Milk Colony,72.8847838,15000,"1 BHK Apartment for Rent in Royal Palms Diamond Isle Phase II, Aarey Milk Colony"
